fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,x_oneFixAhead_f,y_curFix_f,y_oneFixAhead_f
1,5,1,1,0,444.253051757813,422.021942138672,10132,10384,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,0.903306663036346,-10.6103181838989,0.179365023970604,4.68333339691162
2,5,1,1,0,865.43310546875,875.482238769531,10449,10653,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,-10.9604825973511,14.0896835327148,4.07827138900757,13.0833330154419
3,5,1,1,0,213.598663330078,214.152542114258,10739,10972,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,13.032172203064,16.4230175018311,12.7942047119141,16.5833339691162
4,5,1,1,0,995.226257324219,990.753356933594,11026,11564,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,16.1528759002686,-15.8769836425781,16.2568683624268,11.6833333969116
5,5,1,1,0,843.637268066406,810.917297363281,11658,11851,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,-14.7935628890991,-12.4769830703735,12.0781412124634,-13.6833343505859
1,5,2,4,0,571.522033691406,584.643432617188,29240,29491,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,0.789283931255341,-9.81031799316406,-0.267397224903107,14.0500001907349
2,5,2,4,0,508.024353027344,499.941009521484,29574,29827,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-10.0825128555298,-16.8436508178711,13.881760597229,1.34999990463257
3,5,2,4,1,92.0769805908203,95.7721710205078,29901,30063,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-16.5506496429443,-18.3103160858154,1.24032855033875,1.91666662693024
4,5,2,4,0,150.141265869141,159.706695556641,30102,30473,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-18.0894584655762,-21.8769836425781,2.89213943481445,4.11666679382324
5,5,2,4,0,668.369995117188,820.591064453125,30530,30894,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-21.77663230896,-0.943650782108307,4.01657962799072,-11.216667175293
1,6,3,7,0,401.428802490234,437.990844726563,49485,49780,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,0.819625794887543,-10.643651008606,-0.312598884105682,6.28333330154419
2,6,3,7,0,273.671142578125,313.111877441406,49864,50049,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-10.7506799697876,-18.1436500549316,6.12081289291382,2.58333325386047
3,6,3,7,0,181.956085205078,147.620025634766,50130,50771,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-17.9445629119873,-21.8769836425781,2.94635987281799,3.68333339691162
4,6,3,7,0,546.009521484375,533.231628417969,50823,51050,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-22.174783706665,-14.7769842147827,3.34691882133484,-10.0166673660278
5,6,3,7,0,73.3037948608398,76.9099349975586,51128,51304,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-14.8430786132813,-15.8769836425781,-9.352463722229,-7.81666707992554
6,6,3,7,0,413.825012207031,424.431945800781,51339,51590,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-15.8431205749512,-18.5103168487549,-7.94110536575317,2.51666665077209
1,2,4,11,1,356.3408203125,268.283630371094,76077,76319,2.99210966943887,-9.16630422542385,-21.3247181202866,2.99210966943887,0.394228011369705,1.85634934902191,-0.548071682453156,-7.41666746139526
2,2,4,11,0,859.191711425781,797.501770019531,76350,77098,2.99210966943887,-9.16630422542385,-21.3247181202866,2.99210966943887,3.86437392234802,-17.4436511993408,-8.83588600158691,6.21666669845581
1,8,5,13,0,423.95068359375,396.465759277344,90626,91083,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-0.363271355628967,-5.04365110397339,0.0275342669337988,10.9166669845581
2,8,5,13,0,625.714477539063,572.7880859375,91137,91441,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-4.82161140441895,-14.2436513900757,10.9868440628052,-3.14999985694885
3,8,5,13,0,440.744232177734,418.980010986328,91505,91696,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-13.8277711868286,-12.0436506271362,-3.03603911399841,-14.5166673660278
4,8,5,13,0,284.412963867188,279.904083251953,91757,92253,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-9.79413318634033,-15.5436506271362,-14.2024984359741,-11.9833335876465
