fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,x_oneFixAhead_f,y_curFix_f,y_oneFixAhead_f
1,3,1,2,0,621.846801757813,590.037658691406,17846,18062,8.77261790887514,-14.7435096793137,-8.77261790887514,14.7435096793137,-0.408377021551132,-10.1015872955322,0.285779446363449,14.5714292526245
2,3,1,2,0,660.281372070313,648.911987304688,18138,18775,8.77261790887514,-14.7435096793137,-8.77261790887514,14.7435096793137,-9.19933319091797,-9.70158767700195,14.6596670150757,-3.9952380657196
3,3,1,2,0,828.264953613281,791.380004882813,18861,19077,8.77261790887514,-14.7435096793137,-8.77261790887514,14.7435096793137,-9.70373344421387,10.298412322998,-3.02502346038818,-15.3285713195801
1,10,2,3,0,465.270263671875,453.821807861328,24712,25283,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-0.534687519073486,-12.5682535171509,0.0545582175254822,0.171428576111794
2,10,2,3,0,452.60595703125,465.236236572266,25355,25602,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-12.2275228500366,-12.8682546615601,0.255233436822891,13.0047616958618
3,10,2,3,0,152.88703918457,159.926635742188,25682,25857,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-12.820255279541,-13.3682546615601,12.5811433792114,16.4047622680664
4,10,2,3,0,612.214965820313,587.915954589844,25912,26008,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-13.2877035140991,-18.5349216461182,16.3565006256104,0.204761922359467
5,10,2,3,0,168.395736694336,179.415161132813,26086,26279,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-17.9915714263916,-20.1349201202393,1.21961522102356,5.13809537887573
6,10,2,3,0,695.726928710938,700.585632324219,26337,26581,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-20.0540561676025,0.531746089458466,5.14041471481323,4.30476236343384
7,10,2,3,1,668.756591796875,635.232360839844,26665,26885,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-0.333709239959717,18.0650806427002,4.41490983963013,2.60476183891296
8,10,2,3,0,245.276824951172,237.842086791992,26966,27227,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,17.2895889282227,23.2317447662354,2.83336901664734,3.10476207733154
9,10,2,3,0,917.708251953125,886.986877441406,27294,27610,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,23.386625289917,-1.53492057323456,2.98883605003357,11.9380950927734
10,10,2,3,0,568.280395507813,568.8681640625,27738,28287,20.5306817029696,2.89358601182793,14.6516498059224,-14.7435096793137,-1.2307311296463,4.09841299057007,11.9623413085938,-2.89523816108704
1,4,3,5,0,409.265350341797,399.317779541016,37810,38041,8.77261790887514,-2.98544588521929,2.98544588521929,-8.77261790887514,-1.93650782108307,1.79841279983521,-0.118759177625179,-10.2285718917847
2,4,3,5,0,866.215087890625,790.393920898438,38117,38810,8.77261790887514,-2.98544588521929,2.98544588521929,-8.77261790887514,2.1492075920105,-12.3682546615601,-9.27925109863281,9.47142887115479
3,4,3,5,0,652.141479492188,630.841735839844,38886,39030,8.77261790887514,-2.98544588521929,2.98544588521929,-8.77261790887514,-11.8495101928711,-9.70158767700195,8.77744770050049,-9.39523792266846
4,4,3,5,0,502.722900390625,503.791809082031,39109,39419,8.77261790887514,-2.98544588521929,2.98544588521929,-8.77261790887514,-9.94803524017334,3.46507954597473,-8.31715869903564,-9.09523868560791
1,5,4,6,0,389.411193847656,379.925445556641,44431,44746,-8.8644777822665,-8.8644777822665,20.5306817029696,-14.7435096793137,-2.13862419128418,-12.0015869140625,-0.278201073408127,3.63809561729431
2,5,4,6,1,516.55029296875,504.387817382813,44818,44947,-8.8644777822665,-8.8644777822665,20.5306817029696,-14.7435096793137,-11.5809183120728,-9.46825408935547,3.52310681343079,-10.5285711288452
3,5,4,6,0,655.680114746094,616.276245117188,45028,45570,-8.8644777822665,-8.8644777822665,20.5306817029696,-14.7435096793137,-9.52464866638184,-16.8682537078857,-9.29886245727539,7.40476226806641
4,5,4,6,0,671.165344238281,649.890441894531,45683,45942,-8.8644777822665,-8.8644777822665,20.5306817029696,-14.7435096793137,-16.7624607086182,-7.26825380325317,7.17233514785767,-9.59523868560791
5,5,4,6,0,97.7333068847656,99.1014099121094,46023,46283,-8.8644777822665,-8.8644777822665,20.5306817029696,-14.7435096793137,-7.65671110153198,-10.1349210739136,-8.57650852203369,-8.19523811340332
1,5,5,7,0,412.896087646484,413.966827392578,51670,51894,-20.6225415763609,-8.8644777822665,20.6225415763609,8.8644777822665,-2.54697394371033,-12.834921836853,0.0626492276787758,5.83809518814087
2,5,5,7,0,257.198028564453,270.078094482422,51966,52130,-20.6225415763609,-8.8644777822665,20.6225415763609,8.8644777822665,-12.2538185119629,-15.9682540893555,5.7728533744812,0.204761922359467
3,5,5,7,1,394.237396240234,382.396148681641,52197,52353,-20.6225415763609,-8.8644777822665,20.6225415763609,8.8644777822665,-15.6975183486938,-19.6349201202393,0.573565483093262,-8.56190490722656
4,5,5,7,0,228.058883666992,240.632690429688,52425,52757,-20.6225415763609,-8.8644777822665,20.6225415763609,8.8644777822665,-19.409215927124,-20.0015888214111,-7.95147180557251,-1.9619048833847
